,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.231017771
Riboflavin metabolism,2.421307506
Phosphonate and phosphinate metabolism,1.615508885
Nitrogen metabolism,1.615508885
Purine metabolism,1.343283582
Ascorbate and aldarate metabolism,1.212121212
Taurine and hypotaurine metabolism,1.212121212
Glycerophospholipid metabolism,1.078167116
"Alanine, aspartate and glutamate metabolism",1.038062284
Glutathione metabolism,1.038062284
Pantothenate and CoA biosynthesis,1.020408163
Pyrimidine metabolism,0.995024876
alpha-Linolenic acid metabolism,0.746268657
Arginine biosynthesis,0.694444444
Butanoate metabolism,0.64516129
Nicotinate and nicotinamide metabolism,0.64516129
Histidine metabolism,0.606060606
Glyoxylate and dicarboxylate metabolism,0.606060606
"Glycine, serine and threonine metabolism",0.588235294
Cysteine and methionine metabolism,0.588235294
Arachidonic acid metabolism,0.539083558
Pentose and glucuronate interconversions,0.537634409
Arginine and proline metabolism,0.510204082
Citrate cycle (TCA cycle),0.485436893
Selenocompound metabolism,0.485436893
Ether lipid metabolism,0.485436893
Sphingolipid metabolism,0.460829493
Pentose phosphate pathway,0.440528634
Pyruvate metabolism,0.440528634
Primary bile acid biosynthesis,0.421052632
Fatty acid biosynthesis,0.412371134
Aminoacyl-tRNA biosynthesis,0.404040404
Lysine degradation,0.387596899
Glycolysis / Gluconeogenesis,0.373134328
Steroid hormone biosynthesis,0.342075257
Porphyrin and chlorophyll metabolism,0.323624595
Biosynthesis of unsaturated fatty acids,0.269541779
Amino sugar and nucleotide sugar metabolism,0.261780105
Fatty acid elongation,0.248756219
Fatty acid degradation,0.248756219
Tyrosine metabolism,0.230946882
