,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.2
"Neomycin, kanamycin and gentamicin biosynthesis",3.194888179
D-Glutamine and D-glutamate metabolism,2.132196162
Phenylalanine metabolism,1.923076923
Riboflavin metabolism,1.6
Aminoacyl-tRNA biosynthesis,1.597869507
Linoleic acid metabolism,1.278772379
Histidine metabolism,1.2
Purine metabolism,1.176470588
Phosphonate and phosphinate metabolism,1.066098081
Nitrogen metabolism,1.066098081
Arachidonic acid metabolism,1.065719361
Cysteine and methionine metabolism,0.968992248
Sphingolipid metabolism,0.914634146
Arginine biosynthesis,0.913242009
Arginine and proline metabolism,0.841750842
Ascorbate and aldarate metabolism,0.8
"Valine, leucine and isoleucine biosynthesis",0.8
Taurine and hypotaurine metabolism,0.8
Lipoic acid metabolism,0.8
Pentose and glucuronate interconversions,0.711743772
Ubiquinone and other terpenoid-quinone biosynthesis,0.709219858
Vitamin B6 metabolism,0.709219858
Pantothenate and CoA biosynthesis,0.673400673
Caffeine metabolism,0.641025641
Biotin metabolism,0.641025641
beta-Alanine metabolism,0.609756098
Pentose phosphate pathway,0.581395349
"Glycine, serine and threonine metabolism",0.581395349
Lysine degradation,0.511508951
Pyrimidine metabolism,0.491803279
Tryptophan metabolism,0.468018721
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.456621005
"Alanine, aspartate and glutamate metabolism",0.456621005
Glutathione metabolism,0.456621005
Butanoate metabolism,0.425531915
Nicotinate and nicotinamide metabolism,0.425531915
Glyoxylate and dicarboxylate metabolism,0.4
Retinol metabolism,0.37593985
Starch and sucrose metabolism,0.355871886
Glycerophospholipid metabolism,0.355239787
Amino sugar and nucleotide sugar metabolism,0.345423143
Selenocompound metabolism,0.319488818
Ether lipid metabolism,0.319488818
Glycolysis / Gluconeogenesis,0.245700246
Galactose metabolism,0.236966825
Inositol phosphate metabolism,0.213219616
Porphyrin and chlorophyll metabolism,0.213219616
Biosynthesis of unsaturated fatty acids,0.177619893
Drug metabolism - other enzymes,0.163934426
Tyrosine metabolism,0.152207002
Primary bile acid biosynthesis,0.139082058
Metabolism of xenobiotics by cytochrome P450,0.094339623
Steroid hormone biosynthesis,0.07518797
