,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,5.395683453
"Phenylalanine, tyrosine and tryptophan biosynthesis",5.39083558
Phenylalanine metabolism,3.239740821
Aminoacyl-tRNA biosynthesis,2.696629213
Linoleic acid metabolism,2.159827214
"Glycine, serine and threonine metabolism",1.960784314
Nitrogen metabolism,1.798561151
"Alanine, aspartate and glutamate metabolism",1.544401544
Arginine biosynthesis,1.538461538
Glyoxylate and dicarboxylate metabolism,1.351351351
Histidine metabolism,1.351351351
Ascorbate and aldarate metabolism,1.349527665
"Valine, leucine and isoleucine biosynthesis",1.349527665
Ubiquinone and other terpenoid-quinone biosynthesis,1.199040767
Arginine and proline metabolism,1.136363636
Pantothenate and CoA biosynthesis,1.136363636
Caffeine metabolism,1.079913607
Porphyrin and chlorophyll metabolism,1.079136691
beta-Alanine metabolism,1.025641026
Tryptophan metabolism,0.789473684
Glutathione metabolism,0.772200772
Butanoate metabolism,0.71942446
Nicotinate and nicotinamide metabolism,0.71942446
Citrate cycle (TCA cycle),0.540540541
Selenocompound metabolism,0.540540541
Tyrosine metabolism,0.514138817
Sphingolipid metabolism,0.512820513
Galactose metabolism,0.4
Phosphatidylinositol signaling system,0.386100386
Steroid hormone biosynthesis,0.381194409
Inositol phosphate metabolism,0.35971223
Purine metabolism,0.332225914
Cysteine and methionine metabolism,0.326797386
Arachidonic acid metabolism,0.299401198
Pyrimidine metabolism,0.27700831
Primary bile acid biosynthesis,0.234741784
