,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.590664273
D-Glutamine and D-glutamate metabolism,3.588516746
"Neomycin, kanamycin and gentamicin biosynthesis",3.584229391
Phenylalanine metabolism,2.158273381
Ascorbate and aldarate metabolism,1.801801802
Aminoacyl-tRNA biosynthesis,1.793721973
Sphingolipid metabolism,1.365187713
Histidine metabolism,1.34529148
Phosphonate and phosphinate metabolism,1.196172249
Nitrogen metabolism,1.196172249
Pyrimidine metabolism,1.104972376
Arginine biosynthesis,1.025641026
Arginine and proline metabolism,0.945179584
Purine metabolism,0.883977901
Cysteine and methionine metabolism,0.869565217
Ubiquinone and other terpenoid-quinone biosynthesis,0.8
Vitamin B6 metabolism,0.8
"Alanine, aspartate and glutamate metabolism",0.769230769
Pantothenate and CoA biosynthesis,0.754716981
Caffeine metabolism,0.71942446
Biotin metabolism,0.71942446
beta-Alanine metabolism,0.682593857
Glyoxylate and dicarboxylate metabolism,0.67264574
Pentose phosphate pathway,0.653594771
"Glycine, serine and threonine metabolism",0.652173913
Glycolysis / Gluconeogenesis,0.552486188
Galactose metabolism,0.531914894
Tryptophan metabolism,0.525394046
Glutathione metabolism,0.512820513
Butanoate metabolism,0.4784689
Nicotinate and nicotinamide metabolism,0.4784689
Inositol phosphate metabolism,0.4784689
Porphyrin and chlorophyll metabolism,0.4784689
Glycerophospholipid metabolism,0.399201597
Pentose and glucuronate interconversions,0.398406375
Starch and sucrose metabolism,0.398406375
Amino sugar and nucleotide sugar metabolism,0.388349515
Selenocompound metabolism,0.358422939
Ether lipid metabolism,0.358422939
Lysine degradation,0.287356322
Phosphatidylinositol signaling system,0.256410256
Biosynthesis of unsaturated fatty acids,0.199600798
Fatty acid elongation,0.184162063
Fatty acid degradation,0.184162063
Tyrosine metabolism,0.170940171
Primary bile acid biosynthesis,0.15600624
Fatty acid biosynthesis,0.152671756
