,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,4.81540931
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.409638554
Riboflavin metabolism,2.409638554
Vitamin B6 metabolism,2.141327623
Phenylalanine metabolism,1.923076923
Nitrogen metabolism,1.605136437
Aminoacyl-tRNA biosynthesis,1.40562249
Histidine metabolism,1.204819277
Ascorbate and aldarate metabolism,1.204819277
"Valine, leucine and isoleucine biosynthesis",1.204819277
Taurine and hypotaurine metabolism,1.204819277
"Alanine, aspartate and glutamate metabolism",1.030927835
Caffeine metabolism,0.961538462
Biotin metabolism,0.961538462
alpha-Linolenic acid metabolism,0.740740741
Glycolysis / Gluconeogenesis,0.740740741
Purine metabolism,0.740740741
Galactose metabolism,0.714285714
Arginine biosynthesis,0.689655172
Butanoate metabolism,0.641025641
Glycerolipid metabolism,0.602409639
"Glycine, serine and threonine metabolism",0.583090379
Starch and sucrose metabolism,0.534759358
Pantothenate and CoA biosynthesis,0.507614213
Arginine and proline metabolism,0.507614213
Pyrimidine metabolism,0.49382716
Fructose and mannose metabolism,0.480769231
Selenocompound metabolism,0.480769231
beta-Alanine metabolism,0.458715596
Pentose phosphate pathway,0.438596491
Lysine degradation,0.384615385
Glutathione metabolism,0.343642612
Phosphatidylinositol signaling system,0.343642612
Inositol phosphate metabolism,0.321543408
Porphyrin and chlorophyll metabolism,0.321543408
Glyoxylate and dicarboxylate metabolism,0.301204819
Cysteine and methionine metabolism,0.29154519
Glycerophospholipid metabolism,0.267379679
Biosynthesis of unsaturated fatty acids,0.267379679
Drug metabolism - other enzymes,0.24691358
"Valine, leucine and isoleucine degradation",0.240963855
Tryptophan metabolism,0.234741784
Steroid hormone biosynthesis,0.22675737
Primary bile acid biosynthesis,0.209205021
