,Enrichment Ratio
Ascorbate and aldarate metabolism,0.99009901
Taurine and hypotaurine metabolism,0.99009901
Pyrimidine metabolism,0.808080808
Phenylalanine metabolism,0.787401575
"Glycine, serine and threonine metabolism",0.717703349
alpha-Linolenic acid metabolism,0.606060606
Glycerolipid metabolism,0.492610837
Purine metabolism,0.485436893
Biosynthesis of unsaturated fatty acids,0.437636761
Pantothenate and CoA biosynthesis,0.414937759
Fructose and mannose metabolism,0.393700787
Sphingolipid metabolism,0.37593985
Primary bile acid biosynthesis,0.343053173
Glycolysis / Gluconeogenesis,0.303030303
Galactose metabolism,0.292397661
"Alanine, aspartate and glutamate metabolism",0.281690141
Glutathione metabolism,0.281690141
Phosphatidylinositol signaling system,0.281690141
Steroid hormone biosynthesis,0.277777778
Inositol phosphate metabolism,0.263157895
Cysteine and methionine metabolism,0.23923445
Glycerophospholipid metabolism,0.218818381
Fatty acid elongation,0.202020202
Fatty acid degradation,0.202020202
Tyrosine metabolism,0.187617261
Fatty acid biosynthesis,0.167785235
Aminoacyl-tRNA biosynthesis,0.164203612
