,Enrichment Ratio
"Neomycin, kanamycin and gentamicin biosynthesis",6.329113924
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.174603175
Pantothenate and CoA biosynthesis,1.333333333
Caffeine metabolism,1.269035533
Phenylalanine metabolism,1.269035533
Pentose phosphate pathway,1.156069364
Aminoacyl-tRNA biosynthesis,1.058201058
Glycolysis / Gluconeogenesis,0.975609756
"Alanine, aspartate and glutamate metabolism",0.904977376
Purine metabolism,0.78125
Cysteine and methionine metabolism,0.769230769
Starch and sucrose metabolism,0.704225352
Pyrimidine metabolism,0.651465798
Selenocompound metabolism,0.632911392
Tryptophan metabolism,0.619195046
beta-Alanine metabolism,0.602409639
Sphingolipid metabolism,0.602409639
Galactose metabolism,0.469483568
Inositol phosphate metabolism,0.421940928
"Glycine, serine and threonine metabolism",0.384615385
Biosynthesis of unsaturated fatty acids,0.352112676
Amino sugar and nucleotide sugar metabolism,0.342465753
Arginine and proline metabolism,0.333333333
Fatty acid elongation,0.325732899
Fatty acid degradation,0.325732899
Fatty acid biosynthesis,0.269541779
