,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,2.789400279
Riboflavin metabolism,2.092050209
Histidine metabolism,1.570680628
Pyrimidine metabolism,1.502145923
Nitrogen metabolism,1.394700139
Purine metabolism,1.287001287
Ascorbate and aldarate metabolism,1.044932079
Taurine and hypotaurine metabolism,1.044932079
Lipoic acid metabolism,1.044932079
Vitamin B6 metabolism,0.925925926
Pantothenate and CoA biosynthesis,0.881057269
Caffeine metabolism,0.833333333
Sphingolipid metabolism,0.796812749
Cysteine and methionine metabolism,0.759493671
alpha-Linolenic acid metabolism,0.64516129
Arginine biosynthesis,0.598802395
Glutathione metabolism,0.597014925
Butanoate metabolism,0.558659218
Nicotinate and nicotinamide metabolism,0.558659218
Fatty acid biosynthesis,0.533807829
Aminoacyl-tRNA biosynthesis,0.522648084
"Glycine, serine and threonine metabolism",0.506329114
Pentose and glucuronate interconversions,0.465116279
Biosynthesis of unsaturated fatty acids,0.465116279
Tryptophan metabolism,0.408163265
Propanoate metabolism,0.363636364
Glycolysis / Gluconeogenesis,0.321543408
"Alanine, aspartate and glutamate metabolism",0.298507463
Steroid hormone biosynthesis,0.294117647
Porphyrin and chlorophyll metabolism,0.278551532
Glyoxylate and dicarboxylate metabolism,0.261096606
Arachidonic acid metabolism,0.23255814
Amino sugar and nucleotide sugar metabolism,0.226244344
Arginine and proline metabolism,0.220264317
Fatty acid elongation,0.214592275
Fatty acid degradation,0.214592275
Tyrosine metabolism,0.199203187
Primary bile acid biosynthesis,0.181818182
Metabolism of xenobiotics by cytochrome P450,0.12300123
