,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.008016032
Phenylalanine metabolism,2.4
Riboflavin metabolism,2.004008016
Linoleic acid metabolism,1.602564103
Arachidonic acid metabolism,1.336302895
Ascorbate and aldarate metabolism,1.001001001
Taurine and hypotaurine metabolism,1.001001001
Ubiquinone and other terpenoid-quinone biosynthesis,0.892857143
Pentose and glucuronate interconversions,0.888888889
Purine metabolism,0.863131936
Pantothenate and CoA biosynthesis,0.843881857
Sphingolipid metabolism,0.763358779
Cysteine and methionine metabolism,0.72815534
Nicotinate and nicotinamide metabolism,0.534759358
Aminoacyl-tRNA biosynthesis,0.500834725
Histidine metabolism,0.5
Retinol metabolism,0.471698113
Biosynthesis of unsaturated fatty acids,0.445434298
Pyrimidine metabolism,0.410677618
Tryptophan metabolism,0.390625
beta-Alanine metabolism,0.381679389
Pentose phosphate pathway,0.363636364
Glutathione metabolism,0.285714286
Porphyrin and chlorophyll metabolism,0.266666667
Amino sugar and nucleotide sugar metabolism,0.216450216
Arginine and proline metabolism,0.210970464
Fatty acid elongation,0.205338809
Fatty acid degradation,0.205338809
Steroid biosynthesis,0.190839695
Tyrosine metabolism,0.190839695
Steroid hormone biosynthesis,0.188679245
Primary bile acid biosynthesis,0.174216028
Fatty acid biosynthesis,0.170357751
