,Enrichment Ratio
Purine metabolism,2.272727273
Pyrimidine metabolism,1.515151515
Glycerophospholipid metabolism,0.819672131
Pantothenate and CoA biosynthesis,0.775193798
Ether lipid metabolism,0.740740741
Glutathione metabolism,0.529100529
"Glycine, serine and threonine metabolism",0.448430493
Cysteine and methionine metabolism,0.448430493
Biosynthesis of unsaturated fatty acids,0.409836066
Arginine and proline metabolism,0.389105058
Tryptophan metabolism,0.36101083
Primary bile acid biosynthesis,0.321543408
Steroid hormone biosynthesis,0.173913043
