,Enrichment Ratio
Purine metabolism,1.645338208
Taurine and hypotaurine metabolism,1.485884101
Pantothenate and CoA biosynthesis,1.25
Sphingolipid metabolism,1.129943503
alpha-Linolenic acid metabolism,0.917431193
Pyrimidine metabolism,0.914634146
Histidine metabolism,0.740740741
"Glycine, serine and threonine metabolism",0.71942446
Cysteine and methionine metabolism,0.71942446
Glycolysis / Gluconeogenesis,0.456621005
Glutathione metabolism,0.425531915
Arachidonic acid metabolism,0.330033003
Biosynthesis of unsaturated fatty acids,0.330033003
Fatty acid elongation,0.304878049
Fatty acid degradation,0.304878049
Tyrosine metabolism,0.283286119
Steroid hormone biosynthesis,0.27972028
Primary bile acid biosynthesis,0.258397933
Fatty acid biosynthesis,0.253164557
Metabolism of xenobiotics by cytochrome P450,0.174825175
