,Enrichment Ratio
"Neomycin, kanamycin and gentamicin biosynthesis",4.032258065
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.024144869
Phenylalanine metabolism,2.419354839
Ascorbate and aldarate metabolism,2.014098691
"Valine, leucine and isoleucine biosynthesis",1.007049345
Lipoic acid metabolism,1.007049345
"Glycine, serine and threonine metabolism",0.975609756
Ubiquinone and other terpenoid-quinone biosynthesis,0.892857143
Aminoacyl-tRNA biosynthesis,0.838926174
Sphingolipid metabolism,0.766283525
Pentose phosphate pathway,0.732600733
Cysteine and methionine metabolism,0.731707317
alpha-Linolenic acid metabolism,0.621118012
Pyrimidine metabolism,0.619834711
Glycolysis / Gluconeogenesis,0.619195046
Galactose metabolism,0.597014925
Arginine biosynthesis,0.574712644
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.574712644
Inositol phosphate metabolism,0.536193029
Glyoxylate and dicarboxylate metabolism,0.503778338
Histidine metabolism,0.502512563
Glycerolipid metabolism,0.502512563
Purine metabolism,0.495662949
Arachidonic acid metabolism,0.447427293
Biosynthesis of unsaturated fatty acids,0.447427293
Pentose and glucuronate interconversions,0.446428571
Starch and sucrose metabolism,0.446428571
Amino sugar and nucleotide sugar metabolism,0.435729847
Pantothenate and CoA biosynthesis,0.423728814
Arginine and proline metabolism,0.423728814
Fructose and mannose metabolism,0.403225806
Tryptophan metabolism,0.392927308
beta-Alanine metabolism,0.383141762
Glutathione metabolism,0.287356322
Phosphatidylinositol signaling system,0.287356322
Porphyrin and chlorophyll metabolism,0.268096515
"Valine, leucine and isoleucine degradation",0.201207243
Steroid biosynthesis,0.191570881
Tyrosine metabolism,0.191570881
Primary bile acid biosynthesis,0.175131349
Metabolism of xenobiotics by cytochrome P450,0.118483412
