,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.474272931
Phenylalanine metabolism,2.678571429
Aminoacyl-tRNA biosynthesis,1.865671642
Pyrimidine metabolism,1.146788991
Ascorbate and aldarate metabolism,1.118568233
"Valine, leucine and isoleucine biosynthesis",1.118568233
Lipoic acid metabolism,1.118568233
Histidine metabolism,1.117318436
Purine metabolism,1.101928375
Ubiquinone and other terpenoid-quinone biosynthesis,0.99009901
Vitamin B6 metabolism,0.99009901
Caffeine metabolism,0.892857143
beta-Alanine metabolism,0.85106383
"Glycine, serine and threonine metabolism",0.81300813
Cysteine and methionine metabolism,0.81300813
Tryptophan metabolism,0.655021834
Arginine biosynthesis,0.641025641
Glycerolipid metabolism,0.558659218
Pentose and glucuronate interconversions,0.497512438
Pantothenate and CoA biosynthesis,0.471698113
Arginine and proline metabolism,0.471698113
Fructose and mannose metabolism,0.448430493
Sphingolipid metabolism,0.425531915
Pentose phosphate pathway,0.406504065
Galactose metabolism,0.331125828
"Alanine, aspartate and glutamate metabolism",0.319488818
Phosphatidylinositol signaling system,0.319488818
Inositol phosphate metabolism,0.298507463
Glyoxylate and dicarboxylate metabolism,0.280112045
Arachidonic acid metabolism,0.248756219
Biosynthesis of unsaturated fatty acids,0.248756219
Tyrosine metabolism,0.213219616
Metabolism of xenobiotics by cytochrome P450,0.131578947
Steroid hormone biosynthesis,0.105374078
