,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.25203252
Phenylalanine metabolism,1.948051948
"Valine, leucine and isoleucine biosynthesis",1.62601626
Aminoacyl-tRNA biosynthesis,1.35501355
Linoleic acid metabolism,1.300390117
Phosphonate and phosphinate metabolism,1.084598698
Ascorbate and aldarate metabolism,0.81300813
Ubiquinone and other terpenoid-quinone biosynthesis,0.724637681
Arachidonic acid metabolism,0.723327306
"Alanine, aspartate and glutamate metabolism",0.697674419
Arginine and proline metabolism,0.684931507
Biotin metabolism,0.649350649
Sphingolipid metabolism,0.619195046
Glyoxylate and dicarboxylate metabolism,0.609756098
"Glycine, serine and threonine metabolism",0.591715976
Cysteine and methionine metabolism,0.591715976
Glycolysis / Gluconeogenesis,0.5
Arginine biosynthesis,0.465116279
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.465116279
Nicotinate and nicotinamide metabolism,0.432900433
Primary bile acid biosynthesis,0.424328147
Glycerolipid metabolism,0.406504065
Purine metabolism,0.4004004
Retinol metabolism,0.383141762
Pantothenate and CoA biosynthesis,0.342465753
Citrate cycle (TCA cycle),0.325732899
Fructose and mannose metabolism,0.325732899
Selenocompound metabolism,0.325732899
beta-Alanine metabolism,0.309597523
Steroid biosynthesis,0.309597523
Pentose phosphate pathway,0.295857988
Pyruvate metabolism,0.295857988
Lysine degradation,0.260416667
Galactose metabolism,0.240963855
Glutathione metabolism,0.23255814
Phosphatidylinositol signaling system,0.23255814
Inositol phosphate metabolism,0.21691974
Porphyrin and chlorophyll metabolism,0.21691974
Glycerophospholipid metabolism,0.180831826
Biosynthesis of unsaturated fatty acids,0.180831826
Pyrimidine metabolism,0.166666667
"Valine, leucine and isoleucine degradation",0.162601626
Tryptophan metabolism,0.158730159
Tyrosine metabolism,0.154798762
Fatty acid biosynthesis,0.138312586
