,Enrichment Ratio
Purine metabolism,1.904761905
Pyrimidine metabolism,1.587301587
Taurine and hypotaurine metabolism,1.10619469
Lipoic acid metabolism,1.10619469
Sphingolipid metabolism,0.843881857
alpha-Linolenic acid metabolism,0.680272109
Glycerolipid metabolism,0.552486188
Arachidonic acid metabolism,0.491400491
Biosynthesis of unsaturated fatty acids,0.491400491
Pantothenate and CoA biosynthesis,0.465116279
Fructose and mannose metabolism,0.442477876
Primary bile acid biosynthesis,0.384615385
Glutathione metabolism,0.316455696
"Glycine, serine and threonine metabolism",0.268096515
Cysteine and methionine metabolism,0.268096515
Glycerophospholipid metabolism,0.245700246
Fatty acid elongation,0.22675737
Fatty acid degradation,0.22675737
Steroid biosynthesis,0.210526316
Fatty acid biosynthesis,0.188323917
Metabolism of xenobiotics by cytochrome P450,0.130208333
