,Enrichment Ratio
Ascorbate and aldarate metabolism,1.379310345
Taurine and hypotaurine metabolism,1.379310345
Pyrimidine metabolism,1.129943503
Phenylalanine metabolism,1.102535832
alpha-Linolenic acid metabolism,0.847457627
Glycerolipid metabolism,0.689655172
"Glycine, serine and threonine metabolism",0.668896321
Pantothenate and CoA biosynthesis,0.581395349
Fructose and mannose metabolism,0.552486188
Sphingolipid metabolism,0.526315789
Primary bile acid biosynthesis,0.479616307
Glycolysis / Gluconeogenesis,0.423728814
Galactose metabolism,0.408163265
"Alanine, aspartate and glutamate metabolism",0.393700787
Phosphatidylinositol signaling system,0.393700787
Inositol phosphate metabolism,0.367647059
Cysteine and methionine metabolism,0.334448161
Glycerophospholipid metabolism,0.306748466
Tyrosine metabolism,0.262467192
Steroid hormone biosynthesis,0.259403372
Aminoacyl-tRNA biosynthesis,0.229885057
Purine metabolism,0.169779287
