,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,1.960784314
Purine metabolism,1.181818182
Nitrogen metabolism,0.980392157
Pyrimidine metabolism,0.907715582
Ascorbate and aldarate metabolism,0.735294118
Taurine and hypotaurine metabolism,0.735294118
Pentose and glucuronate interconversions,0.655737705
Vitamin B6 metabolism,0.653594771
Caffeine metabolism,0.588235294
Sphingolipid metabolism,0.561797753
Cysteine and methionine metabolism,0.53667263
Pentose phosphate pathway,0.536193029
Arachidonic acid metabolism,0.491803279
Tryptophan metabolism,0.431654676
Arginine biosynthesis,0.421940928
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.421940928
Glutathione metabolism,0.421052632
Butanoate metabolism,0.393700787
Histidine metabolism,0.36900369
Aminoacyl-tRNA biosynthesis,0.368550369
Glycerophospholipid metabolism,0.327868852
Biosynthesis of unsaturated fatty acids,0.327868852
Pantothenate and CoA biosynthesis,0.310559006
Arginine and proline metabolism,0.310559006
Ether lipid metabolism,0.294985251
Primary bile acid biosynthesis,0.256410256
Lysine degradation,0.235849057
"Alanine, aspartate and glutamate metabolism",0.210526316
Porphyrin and chlorophyll metabolism,0.196463654
Glyoxylate and dicarboxylate metabolism,0.184501845
"Glycine, serine and threonine metabolism",0.178890877
Amino sugar and nucleotide sugar metabolism,0.159489633
Fatty acid elongation,0.15128593
Fatty acid degradation,0.15128593
Tyrosine metabolism,0.140449438
Steroid hormone biosynthesis,0.138888889
Fatty acid biosynthesis,0.125470514
