,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.524886878
"Neomycin, kanamycin and gentamicin biosynthesis",4.524886878
Phenylalanine metabolism,2.727272727
Aminoacyl-tRNA biosynthesis,1.886792453
Linoleic acid metabolism,1.811594203
Arachidonic acid metabolism,1.511335013
Phosphonate and phosphinate metabolism,1.510574018
Sphingolipid metabolism,1.293103448
Purine metabolism,1.255230126
Ascorbate and aldarate metabolism,1.132502831
"Valine, leucine and isoleucine biosynthesis",1.132502831
Histidine metabolism,1.129943503
Cysteine and methionine metabolism,1.098901099
Ubiquinone and other terpenoid-quinone biosynthesis,1.007049345
Vitamin B6 metabolism,1.007049345
Arginine and proline metabolism,0.954653938
Pantothenate and CoA biosynthesis,0.952380952
Caffeine metabolism,0.909090909
Biotin metabolism,0.909090909
beta-Alanine metabolism,0.862068966
Tryptophan metabolism,0.662251656
Arginine biosynthesis,0.64516129
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.64516129
Nicotinate and nicotinamide metabolism,0.602409639
"Glycine, serine and threonine metabolism",0.549450549
Retinol metabolism,0.531914894
Glycerophospholipid metabolism,0.503778338
Pentose and glucuronate interconversions,0.502512563
Starch and sucrose metabolism,0.502512563
Amino sugar and nucleotide sugar metabolism,0.490196078
Pyrimidine metabolism,0.465116279
Ether lipid metabolism,0.452488688
Pentose phosphate pathway,0.411522634
Lysine degradation,0.362318841
Glycolysis / Gluconeogenesis,0.348432056
Galactose metabolism,0.33557047
Glutathione metabolism,0.323624595
Inositol phosphate metabolism,0.302114804
Glyoxylate and dicarboxylate metabolism,0.283286119
Biosynthesis of unsaturated fatty acids,0.251889169
Drug metabolism - other enzymes,0.23255814
Tyrosine metabolism,0.215517241
