,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",5.714285714
"Neomycin, kanamycin and gentamicin biosynthesis",5.714285714
Phenylalanine metabolism,3.432494279
Linoleic acid metabolism,2.288329519
Aminoacyl-tRNA biosynthesis,2.14797136
Sphingolipid metabolism,1.630434783
Arachidonic acid metabolism,1.587301587
Ascorbate and aldarate metabolism,1.430615165
"Valine, leucine and isoleucine biosynthesis",1.430615165
Histidine metabolism,1.428571429
Purine metabolism,1.408450704
Cysteine and methionine metabolism,1.388888889
Ubiquinone and other terpenoid-quinone biosynthesis,1.272264631
Pantothenate and CoA biosynthesis,1.204819277
Biotin metabolism,1.14416476
beta-Alanine metabolism,1.086956522
Arginine and proline metabolism,0.903614458
Arginine biosynthesis,0.819672131
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.819672131
Nicotinate and nicotinamide metabolism,0.763358779
"Glycine, serine and threonine metabolism",0.694444444
Retinol metabolism,0.67114094
Pentose and glucuronate interconversions,0.636942675
Starch and sucrose metabolism,0.636942675
Amino sugar and nucleotide sugar metabolism,0.619195046
Tryptophan metabolism,0.558659218
Pentose phosphate pathway,0.520833333
Lysine degradation,0.458715596
Glycolysis / Gluconeogenesis,0.440528634
Galactose metabolism,0.423728814
Glutathione metabolism,0.408163265
Inositol phosphate metabolism,0.381679389
Glyoxylate and dicarboxylate metabolism,0.357142857
Biosynthesis of unsaturated fatty acids,0.317460317
Pyrimidine metabolism,0.293255132
Tyrosine metabolism,0.272479564
