,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.696857671
D-Glutamine and D-glutamate metabolism,3.694581281
Phenylalanine metabolism,2.222222222
Aminoacyl-tRNA biosynthesis,2
Ascorbate and aldarate metabolism,1.851851852
"Glycine, serine and threonine metabolism",1.565995526
Linoleic acid metabolism,1.477104874
Phosphonate and phosphinate metabolism,1.231527094
Nitrogen metabolism,1.231527094
Arginine biosynthesis,1.058201058
"Alanine, aspartate and glutamate metabolism",1.055408971
"Valine, leucine and isoleucine biosynthesis",0.925925926
Glyoxylate and dicarboxylate metabolism,0.923787529
Histidine metabolism,0.921658986
Ubiquinone and other terpenoid-quinone biosynthesis,0.819672131
Vitamin B6 metabolism,0.819672131
Pantothenate and CoA biosynthesis,0.778210117
Arginine and proline metabolism,0.778210117
Caffeine metabolism,0.740740741
Porphyrin and chlorophyll metabolism,0.738916256
beta-Alanine metabolism,0.704225352
Cysteine and methionine metabolism,0.67114094
Tryptophan metabolism,0.540540541
Glutathione metabolism,0.527704485
Butanoate metabolism,0.492610837
Nicotinate and nicotinamide metabolism,0.492610837
Retinol metabolism,0.434782609
Arachidonic acid metabolism,0.410677618
Pentose and glucuronate interconversions,0.409836066
Pyrimidine metabolism,0.378787879
Citrate cycle (TCA cycle),0.36900369
Selenocompound metabolism,0.36900369
Sphingolipid metabolism,0.352112676
Tyrosine metabolism,0.352112676
Steroid hormone biosynthesis,0.347826087
Fatty acid biosynthesis,0.314465409
Glycolysis / Gluconeogenesis,0.284090909
Galactose metabolism,0.273972603
Phosphatidylinositol signaling system,0.263852243
Inositol phosphate metabolism,0.246305419
Purine metabolism,0.227272727
Glycerophospholipid metabolism,0.205338809
Biosynthesis of unsaturated fatty acids,0.205338809
Amino sugar and nucleotide sugar metabolism,0.199600798
Primary bile acid biosynthesis,0.160513644
