,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.624671916
Phosphonate and phosphinate metabolism,1.748251748
D-Glutamine and D-glutamate metabolism,1.748251748
Sphingolipid metabolism,1.5
Ascorbate and aldarate metabolism,1.312335958
Lipoic acid metabolism,1.312335958
"Glycine, serine and threonine metabolism",1.27388535
Cysteine and methionine metabolism,1.27388535
Phenylalanine metabolism,1.049317943
Purine metabolism,0.969305331
Aminoacyl-tRNA biosynthesis,0.875273523
Glycolysis / Gluconeogenesis,0.806451613
Nicotinate and nicotinamide metabolism,0.699300699
Pentose and glucuronate interconversions,0.584795322
Starch and sucrose metabolism,0.584795322
Glycerophospholipid metabolism,0.583090379
Pyrimidine metabolism,0.537634409
Galactose metabolism,0.389105058
Glutathione metabolism,0.374531835
Porphyrin and chlorophyll metabolism,0.34965035
Glyoxylate and dicarboxylate metabolism,0.327868852
Biosynthesis of unsaturated fatty acids,0.29154519
Amino sugar and nucleotide sugar metabolism,0.284090909
Arginine and proline metabolism,0.276243094
Fatty acid elongation,0.268817204
Fatty acid degradation,0.268817204
Drug metabolism - other enzymes,0.268817204
Tryptophan metabolism,0.255754476
Tyrosine metabolism,0.25
Fatty acid biosynthesis,0.223214286
Metabolism of xenobiotics by cytochrome P450,0.154320988
Steroid hormone biosynthesis,0.12345679
