,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,4.291845494
Lipoic acid metabolism,3.225806452
Sphingolipid metabolism,2.457002457
Glycolysis / Gluconeogenesis,1.98019802
"Glycine, serine and threonine metabolism",1.5625
Glutathione metabolism,0.917431193
Porphyrin and chlorophyll metabolism,0.862068966
Cysteine and methionine metabolism,0.78125
Biosynthesis of unsaturated fatty acids,0.714285714
Fatty acid elongation,0.662251656
Fatty acid degradation,0.662251656
Pyrimidine metabolism,0.662251656
Tryptophan metabolism,0.628930818
Tyrosine metabolism,0.613496933
Fatty acid biosynthesis,0.549450549
Aminoacyl-tRNA biosynthesis,0.537634409
Purine metabolism,0.396825397
Metabolism of xenobiotics by cytochrome P450,0.378787879
