,Enrichment Ratio
"Neomycin, kanamycin and gentamicin biosynthesis",4.405286344
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.395604396
D-Glutamine and D-glutamate metabolism,2.93255132
Aminoacyl-tRNA biosynthesis,2.564102564
Vitamin B6 metabolism,1.960784314
Phenylalanine metabolism,1.754385965
Phosphonate and phosphinate metabolism,1.46627566
Nitrogen metabolism,1.46627566
Arginine biosynthesis,1.257861635
Arginine and proline metabolism,1.157407407
"Valine, leucine and isoleucine biosynthesis",1.100110011
Histidine metabolism,1.098901099
Purine metabolism,1.082543978
"Glycine, serine and threonine metabolism",1.066666667
Ubiquinone and other terpenoid-quinone biosynthesis,0.980392157
"Alanine, aspartate and glutamate metabolism",0.943396226
Porphyrin and chlorophyll metabolism,0.879765396
Caffeine metabolism,0.877192982
Biotin metabolism,0.877192982
beta-Alanine metabolism,0.836820084
Sphingolipid metabolism,0.836820084
Glyoxylate and dicarboxylate metabolism,0.824175824
Pentose phosphate pathway,0.8
Cysteine and methionine metabolism,0.8
Pyrimidine metabolism,0.677200903
Glycolysis / Gluconeogenesis,0.675675676
Tryptophan metabolism,0.643776824
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.628930818
Glutathione metabolism,0.628930818
Butanoate metabolism,0.588235294
Nicotinate and nicotinamide metabolism,0.588235294
Glycerophospholipid metabolism,0.488997555
Starch and sucrose metabolism,0.487804878
Pantothenate and CoA biosynthesis,0.462962963
Selenocompound metabolism,0.440528634
Ether lipid metabolism,0.440528634
Primary bile acid biosynthesis,0.382409178
Lysine degradation,0.352112676
Galactose metabolism,0.325732899
Inositol phosphate metabolism,0.293255132
Biosynthesis of unsaturated fatty acids,0.244498778
Amino sugar and nucleotide sugar metabolism,0.237529691
Fatty acid elongation,0.225733634
Fatty acid degradation,0.225733634
Steroid biosynthesis,0.209643606
Tyrosine metabolism,0.209643606
Steroid hormone biosynthesis,0.207039337
Fatty acid biosynthesis,0.187265918
