,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.237136465
Phenylalanine metabolism,1.34529148
Riboflavin metabolism,1.118568233
Purine metabolism,0.896551724
Linoleic acid metabolism,0.892857143
Arachidonic acid metabolism,0.870646766
Sphingolipid metabolism,0.852878465
Aminoacyl-tRNA biosynthesis,0.654205607
Pyrimidine metabolism,0.574052813
Ascorbate and aldarate metabolism,0.558659218
Taurine and hypotaurine metabolism,0.558659218
Lipoic acid metabolism,0.558659218
Cysteine and methionine metabolism,0.542740841
Ubiquinone and other terpenoid-quinone biosynthesis,0.497512438
Vitamin B6 metabolism,0.497512438
Pentose and glucuronate interconversions,0.497512438
Pantothenate and CoA biosynthesis,0.471698113
Caffeine metabolism,0.448430493
"Glycine, serine and threonine metabolism",0.407055631
Biosynthesis of unsaturated fatty acids,0.373134328
Arginine and proline metabolism,0.35335689
Tryptophan metabolism,0.327510917
Arginine biosynthesis,0.319488818
Nicotinate and nicotinamide metabolism,0.298507463
Primary bile acid biosynthesis,0.291262136
Histidine metabolism,0.280112045
Retinol metabolism,0.263157895
Glycerophospholipid metabolism,0.248756219
Selenocompound metabolism,0.223713647
Ether lipid metabolism,0.223713647
beta-Alanine metabolism,0.213219616
Steroid hormone biosynthesis,0.210526316
Pentose phosphate pathway,0.203665988
"Alanine, aspartate and glutamate metabolism",0.16
Glutathione metabolism,0.16
Porphyrin and chlorophyll metabolism,0.149253731
Glyoxylate and dicarboxylate metabolism,0.13986014
Amino sugar and nucleotide sugar metabolism,0.120918984
Fatty acid elongation,0.114810563
Fatty acid degradation,0.114810563
Drug metabolism - other enzymes,0.114810563
Steroid biosynthesis,0.106609808
Tyrosine metabolism,0.106609808
Fatty acid biosynthesis,0.095238095
Metabolism of xenobiotics by cytochrome P450,0.065789474
