,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.580645161
"Neomycin, kanamycin and gentamicin biosynthesis",2.577319588
Phenylalanine metabolism,1.546391753
Riboflavin metabolism,1.290322581
Linoleic acid metabolism,1.031991744
Sphingolipid metabolism,0.982800983
Purine metabolism,0.873015873
Arachidonic acid metabolism,0.859598854
Ascorbate and aldarate metabolism,0.64516129
Taurine and hypotaurine metabolism,0.64516129
Cysteine and methionine metabolism,0.625
Ubiquinone and other terpenoid-quinone biosynthesis,0.574712644
Pentose and glucuronate interconversions,0.573065903
Pantothenate and CoA biosynthesis,0.543478261
Aminoacyl-tRNA biosynthesis,0.537634409
Pentose phosphate pathway,0.469483568
"Glycine, serine and threonine metabolism",0.46875
Pyrimidine metabolism,0.396825397
Arginine biosynthesis,0.36900369
Nicotinate and nicotinamide metabolism,0.343642612
Primary bile acid biosynthesis,0.33632287
Histidine metabolism,0.322580645
Retinol metabolism,0.303030303
Starch and sucrose metabolism,0.286532951
Biosynthesis of unsaturated fatty acids,0.286532951
Amino sugar and nucleotide sugar metabolism,0.278940028
Arginine and proline metabolism,0.271370421
Tryptophan metabolism,0.251572327
beta-Alanine metabolism,0.245700246
Glycolysis / Gluconeogenesis,0.198412698
Galactose metabolism,0.191204589
Glutathione metabolism,0.184162063
Steroid hormone biosynthesis,0.181818182
Inositol phosphate metabolism,0.17211704
Porphyrin and chlorophyll metabolism,0.17211704
Glyoxylate and dicarboxylate metabolism,0.161290323
Glycerophospholipid metabolism,0.143266476
Fatty acid elongation,0.132275132
Fatty acid degradation,0.132275132
Drug metabolism - other enzymes,0.132275132
Steroid biosynthesis,0.122850123
Tyrosine metabolism,0.122850123
Fatty acid biosynthesis,0.109769484
Metabolism of xenobiotics by cytochrome P450,0.075757576
