,Enrichment Ratio
Purine metabolism,1.589595376
Taurine and hypotaurine metabolism,1.17370892
Pyrimidine metabolism,0.963855422
Phenylalanine metabolism,0.943396226
Sphingolipid metabolism,0.892857143
alpha-Linolenic acid metabolism,0.724637681
Primary bile acid biosynthesis,0.612244898
Glycerolipid metabolism,0.588235294
Retinol metabolism,0.552486188
Arachidonic acid metabolism,0.522193211
Pentose and glucuronate interconversions,0.520833333
Pantothenate and CoA biosynthesis,0.495049505
Fructose and mannose metabolism,0.469483568
Pentose phosphate pathway,0.427350427
Fatty acid biosynthesis,0.4
Cysteine and methionine metabolism,0.284900285
Steroid biosynthesis,0.223713647
Drug metabolism - cytochrome P450,0.170940171
Metabolism of xenobiotics by cytochrome P450,0.138121547
