,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.676470588
Phenylalanine metabolism,2.941176471
D-Glutamine and D-glutamate metabolism,2.450980392
Aminoacyl-tRNA biosynthesis,2.143950995
"Valine, leucine and isoleucine biosynthesis",1.834862385
Nitrogen metabolism,1.225490196
"Glycine, serine and threonine metabolism",1.113585746
Arginine biosynthesis,1.052631579
Arginine and proline metabolism,0.967117988
Histidine metabolism,0.917431193
Ascorbate and aldarate metabolism,0.917431193
Taurine and hypotaurine metabolism,0.917431193
Ubiquinone and other terpenoid-quinone biosynthesis,0.819672131
Vitamin B6 metabolism,0.819672131
"Alanine, aspartate and glutamate metabolism",0.787401575
Glutathione metabolism,0.787401575
Pantothenate and CoA biosynthesis,0.775193798
Caffeine metabolism,0.735294118
Biotin metabolism,0.735294118
beta-Alanine metabolism,0.699300699
Sphingolipid metabolism,0.699300699
Glyoxylate and dicarboxylate metabolism,0.689655172
alpha-Linolenic acid metabolism,0.564971751
Tryptophan metabolism,0.537634409
Butanoate metabolism,0.490196078
Nicotinate and nicotinamide metabolism,0.490196078
Porphyrin and chlorophyll metabolism,0.490196078
Primary bile acid biosynthesis,0.479233227
Cysteine and methionine metabolism,0.445434298
Glycerophospholipid metabolism,0.408163265
Biosynthesis of unsaturated fatty acids,0.408163265
Pyrimidine metabolism,0.377358491
Selenocompound metabolism,0.367647059
Ether lipid metabolism,0.367647059
Pentose phosphate pathway,0.334448161
Lysine degradation,0.294117647
Galactose metabolism,0.272479564
Phosphatidylinositol signaling system,0.262467192
Inositol phosphate metabolism,0.245098039
Purine metabolism,0.226244344
Fatty acid elongation,0.188679245
Fatty acid degradation,0.188679245
"Valine, leucine and isoleucine degradation",0.183823529
N-Glycan biosynthesis,0.17921147
Tyrosine metabolism,0.175131349
Steroid hormone biosynthesis,0.172413793
Fatty acid biosynthesis,0.156494523
