,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.914004914
D-Glutamine and D-glutamate metabolism,4.909983633
"Neomycin, kanamycin and gentamicin biosynthesis",4.901960784
Phenylalanine metabolism,2.941176471
Aminoacyl-tRNA biosynthesis,2.658486708
Nitrogen metabolism,1.636661211
"Glycine, serine and threonine metabolism",1.488095238
Arginine biosynthesis,1.398601399
Nicotinate and nicotinamide metabolism,1.307189542
Arginine and proline metabolism,1.291989664
Histidine metabolism,1.226993865
Ascorbate and aldarate metabolism,1.226993865
"Valine, leucine and isoleucine biosynthesis",1.226993865
Ubiquinone and other terpenoid-quinone biosynthesis,1.090512541
Vitamin B6 metabolism,1.090512541
"Alanine, aspartate and glutamate metabolism",1.052631579
Glutathione metabolism,1.052631579
Pantothenate and CoA biosynthesis,1.03626943
Caffeine metabolism,0.980392157
Biotin metabolism,0.980392157
beta-Alanine metabolism,0.934579439
Glyoxylate and dicarboxylate metabolism,0.920245399
Pentose phosphate pathway,0.892857143
alpha-Linolenic acid metabolism,0.757575758
Galactose metabolism,0.727272727
Tryptophan metabolism,0.717703349
Butanoate metabolism,0.653594771
Inositol phosphate metabolism,0.653594771
Porphyrin and chlorophyll metabolism,0.653594771
Glycerolipid metabolism,0.613496933
Starch and sucrose metabolism,0.546448087
Pyrimidine metabolism,0.503778338
Fructose and mannose metabolism,0.490196078
Selenocompound metabolism,0.490196078
Sphingolipid metabolism,0.46728972
Lysine degradation,0.392156863
Glycolysis / Gluconeogenesis,0.377358491
Phosphatidylinositol signaling system,0.350877193
Purine metabolism,0.302114804
Cysteine and methionine metabolism,0.297619048
Amino sugar and nucleotide sugar metabolism,0.265251989
Tyrosine metabolism,0.23364486
Primary bile acid biosynthesis,0.213675214
Steroid hormone biosynthesis,0.115473441
